"analysis_set","analysis_role","test_type","metric","value","pval","outlier_count","outlier_rsid","elapsed_seconds","status","notes"
"relaxed_apoe_included","reverse_relaxed_exploratory_alternative_hb_outcome_sensitivity","Global Test","RSSobs","16.8535196335236",0.3195,,"",114.710696935654,"passed","mr_presso_status=passed"
"relaxed_apoe_included","reverse_relaxed_exploratory_alternative_hb_outcome_sensitivity","Outlier Test","outlier_count","0",,0,"",114.710696935654,"passed","no_outlier_reported"
"relaxed_apoe_excluded","reverse_relaxed_exploratory_alternative_hb_outcome_sensitivity","Global Test","RSSobs","9.83799206720682",0.4811,,"",102.787578105927,"passed","mr_presso_status=passed"
"relaxed_apoe_excluded","reverse_relaxed_exploratory_alternative_hb_outcome_sensitivity","Outlier Test","outlier_count","0",,0,"",102.787578105927,"passed","no_outlier_reported"
